,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
118054,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,164,118,1,173,27.0,8.34,0
118055,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,164,117,0,173,18.0,8.41,0
118297,Punjab Kings,Delhi Capitals,Delhi,189,125,9,189,-0.0,9.07,0
118303,Punjab Kings,Delhi Capitals,Delhi,187,119,3,189,12.0,9.43,0
118304,Punjab Kings,Delhi Capitals,Delhi,186,118,2,189,9.0,9.46,0
118305,Punjab Kings,Delhi Capitals,Delhi,184,117,1,189,10.0,9.44,0
118306,Punjab Kings,Delhi Capitals,Delhi,184,116,0,189,7.5,9.52,0
118546,Kolkata Knight Riders,Delhi Capitals,Delhi,163,119,3,169,36.0,8.22,1
118547,Kolkata Knight Riders,Delhi Capitals,Delhi,159,118,2,169,30.0,8.08,1
118548,Kolkata Knight Riders,Delhi Capitals,Delhi,155,117,1,169,28.0,7.95,1
118549,Kolkata Knight Riders,Delhi Capitals,Delhi,154,116,0,169,22.5,7.97,1
118788,Punjab Kings,Sunrisers Hyderabad,Hyderabad,160,125,9,160,-0.0,7.68,0
118794,Punjab Kings,Sunrisers Hyderabad,Hyderabad,150,119,3,160,60.0,7.56,0
118795,Punjab Kings,Sunrisers Hyderabad,Hyderabad,149,118,2,160,33.0,7.58,0
118796,Punjab Kings,Sunrisers Hyderabad,Hyderabad,149,117,1,160,22.0,7.64,0
118797,Punjab Kings,Sunrisers Hyderabad,Hyderabad,145,116,0,160,22.5,7.5,0
119035,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,192,125,9,192,-0.0,9.22,0
